angle, fsin, fcos, sin, cos, dsin, dcos
257.25, -0.9753423205085128, -0.22069743502150077, -0.9753423205085128, -0.22069743502150077, 0, 0/n
257.26, -0.9753808246219223, -0.22052720231268258, -0.9753808246219223, -0.22052720231268258, 0, 0/n
257.27, -0.9754192990235331, -0.2203569628862208, -0.9754192990235331, -0.2203569628862208, 0, 0/n
257.28, -0.9754577437121732, -0.22018671674730125, -0.975457743712173, -0.2201867167473021, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
257.29, -0.975496158686671, -0.22001646390111163, -0.975496158686671, -0.22001646390111163, 0, 0/n
257.3, -0.9755345439458567, -0.21984620435283725, -0.9755345439458567, -0.21984620435283725, 0, 0/n
257.31, -0.9755728994885607, -0.21967593810766453, -0.9755728994885607, -0.21967593810766453, 0, 0/n
257.32, -0.9756112253136149, -0.21950566517078096, -0.9756112253136149, -0.21950566517078096, 0, 0/n
257.33, -0.9756495214198518, -0.21933538554737161, -0.9756495214198518, -0.21933538554737161, 0, 0/n
257.34, -0.975687787806105, -0.2191650992426235, -0.9756877878061048, -0.21916509924262437, -0.0000000000000002220446049250313, 0.0000000000000008604228440844963/n
257.35, -0.9757260244712085, -0.21899480626172554, -0.9757260244712085, -0.21899480626172554, 0, 0/n
257.36, -0.9757642314139976, -0.21882450660986436, -0.9757642314139976, -0.21882450660986436, 0, 0/n
257.37, -0.9758024086333086, -0.21865420029222749, -0.9758024086333086, -0.21865420029222749, 0, 0/n
257.38, -0.9758405561279784, -0.21848388731400284, -0.9758405561279784, -0.21848388731400284, 0, 0/n
257.39, -0.9758786738968449, -0.21831356768037924, -0.9758786738968449, -0.21831356768037924, 0, 0/n
257.4, -0.9759167619387472, -0.21814324139654323, -0.9759167619387472, -0.21814324139654323, 0, 0/n
257.41, -0.9759548202525253, -0.21797290846768325, -0.9759548202525253, -0.21797290846768325, 0, 0/n
257.42, -0.9759928488370193, -0.21780256889898966, -0.9759928488370193, -0.21780256889898966, 0, 0/n
257.43, -0.9760308476910711, -0.2176322226956504, -0.9760308476910711, -0.2176322226956504, 0, 0/n
257.44, -0.9760688168135231, -0.2174618698628546, -0.9760688168135231, -0.2174618698628546, 0, 0/n
257.45, -0.9761067562032187, -0.2172915104057914, -0.9761067562032187, -0.2172915104057914, 0, 0/n
257.46, -0.9761446658590021, -0.21712114432965116, -0.9761446658590021, -0.21712114432965116, 0, 0/n
257.47, -0.976182545779719, -0.21695077163962095, -0.976182545779719, -0.21695077163962095, 0, 0/n
257.48, -0.9762203959642148, -0.21678039234089316, -0.9762203959642148, -0.21678039234089316, 0, 0/n
257.49, -0.976258216411337, -0.21661000643865705, -0.976258216411337, -0.21661000643865705, 0, 0/n
257.5, -0.9762960071199334, -0.21643961393810282, -0.9762960071199334, -0.21643961393810282, 0, 0/n
257.51, -0.9763337680888527, -0.2162692148444209, -0.9763337680888527, -0.2162692148444209, 0, 0/n
257.52, -0.9763714993169449, -0.21609880916280202, -0.9763714993169449, -0.21609880916280202, 0, 0/n
257.53, -0.9764092008030604, -0.21592839689843696, -0.9764092008030602, -0.21592839689843785, -0.0000000000000002220446049250313, 0.0000000000000008881784197001252/n
257.54, -0.9764468725460508, -0.21575797805651684, -0.9764468725460508, -0.21575797805651684, 0, 0/n
257.55, -0.9764845145447686, -0.21558755264223284, -0.9764845145447686, -0.21558755264223284, 0, 0/n
257.56, -0.9765221267980673, -0.21541712066077648, -0.9765221267980673, -0.21541712066077648, 0, 0/n
257.57, -0.9765597093048008, -0.21524668211733938, -0.9765597093048008, -0.21524668211733938, 0, 0/n
257.58, -0.9765972620638246, -0.2150762370171134, -0.9765972620638246, -0.2150762370171134, 0, 0/n
257.59, -0.9766347850739948, -0.21490578536528973, -0.9766347850739944, -0.21490578536529148, -0.0000000000000004440892098500626, 0.0000000000000017486012637846216/n
